Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class,color_encoded,spectral_encoded,cluster,PC1,PC2
3042.0,0.0005,0.1542,16.6,0.0,Red,M,3,6,2,1.5563292816063812,-0.4114808813767869
2600.0,0.0003,0.102,18.7,0.0,Red,M,3,6,2,1.682423474840981,-0.40676154411004073
2800.0,0.0002,0.8300000000000001,16.65,0.0,Red,M,3,6,2,1.5690532906617423,-0.42451121400260244
1939.0,0.000138,0.103,20.06,0.0,Red,M,3,6,2,1.7805907874145728,-0.4240217153835675
2840.0,0.153,0.11,16.98,0.0,Red,M,3,6,2,1.584553630366184,-0.4172004051732769
2637.0,0.00073,0.127,17.22,0.0,Red,M,3,6,2,1.6056748512301349,-0.42493555597789473
2600.0,0.0004,0.096,17.4,0.0,Red,M,3,6,2,1.6164630265837603,-0.42445907697454627
2650.0,0.00069,0.11,17.45,0.0,Red,M,3,6,2,1.6167843617296063,-0.4210844203874282
2700.0,0.00018,0.13,16.05,0.0,Red,M,3,6,2,1.5435252565772717,-0.437460812380741
3600.0,0.153,0.51,10.69,1.0,Red,M,3,6,2,1.231570531514011,-0.46207969108141267
3129.0,0.0122,0.3761,11.79,1.0,Red,M,3,6,2,1.3082613242179493,-0.47247359337025785
3134.0,0.0004,0.196,13.21,1.0,Red,M,3,6,2,1.3802248081442277,-0.4527027520051729
3628.0,0.0055,0.393,10.48,1.0,Red,M,3,6,2,1.2197645141105693,-0.4633176433612188
2650.0,0.0006,0.14,11.782,1.0,Red,M,3,6,2,1.329156217485651,-0.4982965202745971
3340.0,0.0038,0.24,13.07,1.0,Red,M,3,6,2,1.3640018089820143,-0.4434984939679603
2799.0,0.0018,0.16,14.79,1.0,Red,M,3,6,2,1.4752012781296913,-0.4492874669353349
3692.0,0.00367,0.47,10.8,1.0,Red,M,3,6,2,1.233123116005318,-0.45556545906030005
3192.0,0.153,0.1967,13.53,1.0,Red,M,3,6,2,1.3939027839276146,-0.44520644729833575
3441.0,0.039,0.351,11.18,1.0,Red,M,3,6,2,1.2635634112896128,-0.46386941578859314
25000.0,0.056,0.0084,10.58,2.0,Blue-White,B,2,2,1,0.05734271848188914,1.9995086165232103
7740.0,0.00049,0.01234,14.02,2.0,White,A,4,1,0,1.6663047508380158,0.4887193616119616
7220.0,0.00017,0.011,14.23,2.0,White,F,4,3,0,1.6503357169975679,0.02228258957721945
8500.0,0.0005,0.01,14.5,2.0, ,A,0,1,1,0.36066015455158656,2.2242734014965135
16500.0,0.013,0.014,11.89,2.0,Blue-White,B,2,2,1,0.498771872145997,1.557245947210164
12990.0,8.5e-05,0.00984,12.23,2.0,Yellow-White,F,5,3,0,1.6184391616894256,-0.11459650452880482
8570.0,0.00081,0.0097,14.2,2.0,Blue-White,A,2,1,1,0.9905881161940949,1.3800387180847187
7700.0,0.00011,0.0128,14.47,2.0,Yellow-White,F,5,3,0,1.9654574200947346,-0.37043820732098764
11790.0,0.00015,0.011,12.59,2.0,Yellow-White,F,5,3,0,1.689641146322626,-0.1746500371294645
7230.0,8e-05,0.013,14.08,2.0,Red,F,3,3,0,1.318162669274889,0.4427487625569817
39000.0,204000.0,10.6,-4.7,3.0,Blue,O,1,7,3,-2.3890999362265823,1.593199137122626
30000.0,28840.0,6.3,-4.2,3.0, ,B,0,2,1,-1.6504942797589763,2.8695859207707928
15276.0,1136.0,7.2,-1.97,3.0,Blue-White,B,2,2,1,-0.15904283346755482,1.2942649938296822
9700.0,74.0,2.89,0.16,3.0,White,B,4,2,0,0.849478001108537,0.18279384695016337
5800.0,0.81,0.9,5.05,3.0,Yellow-White,F,5,3,0,1.5706375998242776,-0.602366273697983
8052.0,8.7,1.8,2.42,3.0,White,A,4,1,0,1.0626150524284401,0.3460125011899658
6757.0,1.43,1.12,2.41,3.0,Yellow-White,F,5,3,0,1.3943013335008851,-0.5867154606091237
6380.0,1.35,0.98,10.149999999999999,3.0, ,F,0,3,1,0.18318180062568834,1.6082522336636136
5936.0,1.357,1.106,4.46,3.0,Yellow-White,F,5,3,0,1.534549866201925,-0.6032264092303053
5587.0,0.819,0.99,5.03,3.0,Yellow-White,F,5,3,0,1.5789537585642195,-0.6142496252349332
3826.0,200000.0,19.0,-6.93,4.0,Red,M,3,6,2,-0.27195122709906555,-0.9668665249130634
3365.0,340000.0,23.0,-6.2,4.0,Red,M,3,6,2,-0.6277428009453165,-1.1677343661653108
3270.0,150000.0,88.0,-6.02,4.0,Red,M,3,6,2,-0.10459294467378594,-0.9819719086756438
3200.0,195000.0,17.0,-7.22,4.0,Red,M,3,6,2,-0.24295332362749564,-0.9963809479730764
3008.0,0.153,25.0,-6.0,4.0,Red,M,3,6,2,0.39309819460339374,-0.7435805453623188
3600.0,320000.0,29.0,-6.6,4.0,Red,M,3,6,2,-0.6041317198084968,-1.1398613028470441
3575.0,123000.0,45.0,-6.78,4.0,Red,M,3,6,2,-0.0464067597870043,-0.9017271845353518
3574.0,200000.0,89.0,-5.24,4.0,Red,M,3,6,2,-0.22567519383324794,-1.020883673220826
3625.0,184000.0,84.0,-6.74,4.0,Red,M,3,6,2,-0.2535353152583609,-1.013195078339126
33750.0,220000.0,26.0,-6.1,4.0,Blue,B,1,2,1,-2.162653647584801,2.3580609362545752
3490.0,270000.0,1520.0,-9.4,5.0,Red,M,3,6,5,-1.672495859369696,-2.4690791551359546
3750.0,283000.0,1260.0,10.149999999999999,5.0,Red,M,3,6,5,-0.5421305731302261,-1.970251477308452
3834.0,272000.0,1183.0,-9.2,5.0,Red,M,3,6,5,-1.439806221920576,-2.1451586428212024
3749.0,550000.0,1648.0,-8.05,5.0,Red,M,3,6,5,-2.528491873361229,-2.917055797946226
3650.0,310000.0,1324.0,-7.79,5.0,Red,M,3,6,5,-1.5734163901635363,-2.31306725558076
3450.0,263000.0,1349.0,-11.75,5.0,Red,M,3,6,5,-1.6458658950091387,-2.3392802800630648
3660.0,363000.0,1673.0,-11.92,5.0,Red,M,3,6,5,-2.190992806901122,-2.7538019706023555
3450.0,174000.0,1284.0,-11.28,5.0,Red,M,3,6,5,-1.314216526617639,-2.1581692986570533
3752.0,209000.0,955.0,10.149999999999999,5.0,Red, ,3,0,0,0.043784730225812474,-0.27416689115403126
3535.0,195000.0,1546.0,-11.36,5.0,Red,M,3,6,5,-1.572935891562543,-2.4192542240352597
3341.0,0.0056,0.057,16.23,0.0,Red,M,3,6,2,1.5244351284390283,-0.4002468208862069
3432.0,0.00067,0.19,16.94,0.0,Red,M,3,6,2,1.556351646902073,-0.38577297113563974
2983.0,0.00024,0.094,16.09,0.0,Red,M,3,6,2,1.5330969709102806,-0.42156498809873927
2835.0,0.00034,0.0918,16.96,0.0,Red,M,3,6,2,1.5837729547369337,-0.4177267234353861
2935.0,0.00014,0.116,18.89,0.0,Red,M,3,6,2,1.67727649381353,-0.38605363869825887
3295.0,0.00098,0.8300000000000001,17.13,0.0,Red,M,3,6,2,1.5715735600568081,-0.3911808628976324
2945.0,0.00032,0.093,18.34,0.0,Red,M,3,6,2,1.6489438086945964,-0.39298123675140956
2817.0,0.00098,0.0911,16.45,0.0,Red,M,3,6,2,1.5586890011500436,-0.42564542281110085
2774.0,0.00036,0.118,17.39,0.0,Red,M,3,6,2,1.6082640345406434,-0.4151967242322661
2871.0,0.00072,0.12,19.43,0.0,Red,M,3,6,2,1.7074975924700684,-0.3821679801942755
3345.0,0.021,0.273,12.3,1.0,Red,M,3,6,2,1.3246858922145852,-0.4537433583286298
3607.0,0.022,0.38,10.12,1.0,Red,M,3,6,2,1.2024330646880748,-0.4693449619251741
3304.0,0.0085,0.18,10.149999999999999,1.0,Red,M,3,6,2,1.2174661768816544,-0.4851563962686873
3150.0,0.0088,0.35,11.94,1.0,Red,M,3,6,2,1.31496514616114,-0.4692705936682734
3550.0,0.004,0.291,10.89,1.0,Red,M,3,6,2,1.2440833377972793,-0.46186409394952793
